study_id,title,year,doi,pmid,local_fulltext_path,first_reviewer_fulltext_decision,first_reviewer_reason,clock_signal,rct_signal,numeric_signal,second_reviewer_decision,consensus_decision,consensus_reason,relaxed_decision,relaxed_reason,relaxed_signal_clock,relaxed_signal_timepoints,relaxed_signal_numeric,final_eligibility
OlasoGonzalezG_2026_88c470,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,2026.0,10.1111/acel.70376,41677077.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\OlasoGonzalezG_2026_88c470.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
LinS_2025_c63679,Multidomain intervention for delaying aging in community-dwelling older adults (MIDA): study design and protocol.,2025.0,10.1080/07853890.2025.2496409,40297922.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\LinS_2025_c63679.xml,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing numeric_dispersion_pattern; original reason retained (Protocol/design/baseline-only/conference signal),DunedinPACE,2,,exclude_fulltext
ChapnickM_2025_d1605d,Early-life nutrition supplementation and epigenetic age in middle-adulthood among Guatemalan adults,2025.0,10.1101/2025.09.25.678652,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\ChapnickM_2025_d1605d.html,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
StanfieldB_2026_967335,"Exercise and Weekly Sirolimus (Rapamycin) in Older Adults: RAPA-EX-01 Randomised, Double-Blind, Placebo-Controlled Trial.",2026.0,10.1002/jcsm.70274,41985884.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\StanfieldB_2026_967335.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
BozackAK_2025_7aa71b,Dietary fatty acids and epigenetic aging in US adults: results from the National Health and Nutrition Examination Survey.,2025.0,10.1038/s41514-025-00298-x,41354984.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\BozackAK_2025_7aa71b.xml,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing timepoints<2 (found 1); original reason retained (Observational/association title-abstract signal),DunedinPACE,1,"0.02 (0.00, 0.03)",exclude_fulltext
RobinsonLA_2026_d1a7b4,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,2026.0,10.3389/fnut.2026.1750030,41717034.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\RobinsonLA_2026_d1a7b4.xml,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,GrimAge ,2,58.4 ± 5.3,include_relaxed
NwanajiEnweremJC_2024_cd243f,Bronchial cell epigenetic aging in a human experimental study of short-term diesel and ozone exposures.,2024.0,10.1093/eep/dvae017,39416749.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\NwanajiEnweremJC_2024_cd243f.xml,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing timepoints<2 (found 0); original reason retained (Observational/association title-abstract signal),GrimAge,0,mean (SD,exclude_fulltext
CorleyMJ_2025_ad19fa,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial,2025.0,10.1101/2025.07.09.25331038,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\CorleyMJ_2025_ad19fa.pdf,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,DunedinPACE,2,49 ± 12,include_relaxed
RslerW_2026_9ed59d,Trajectories of physical function and biological aging in generally healthy older adults with and without incident invasive cancer over a three-year follow-up: findings from the DO-HEALTH study.,2026.0,10.1038/s41514-026-00360-2,41872206.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\RslerW_2026_9ed59d.pdf,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,DunedinPACE,2,"0.39 (0.03, 0.75)",include_relaxed
BozackAK_2025_90311c,One-carbon metabolism-related compounds are associated with epigenetic aging biomarkers: results from the cross-sectional National Health and Nutrition Examination Survey 1999-2002.,2025.0,10.1016/j.ajcnut.2025.05.029,40456316.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\BozackAK_2025_90311c.xml,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,Dunedin Pace,2,"734 (4,840)",include_relaxed
