title,intervention_name,ageing_domain_category,effect_size,uncertainty_measure,effect_direction,meta_ready,reason_not_meta_ready
Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Parabiosis, Assembloids, Organoids (PAO).",controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes",senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,lifestyle_bundle,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)",nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Diet and Circadian Rhythms: Implications for Aging and Longevity,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Fasting and Caloric Restriction for Healthy Aging and Longevity,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Microbiome and Probiotics for Ischemic Stroke,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging,microbiome,biological_ageing_biomarker,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Gut Microbiome and Virome: Anti-Aging Interventions,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Sleep and Clocks in Aging and Longevity,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
