source,source_id,pmid,doi,title,year,journal,abstract,url,record_type,pmcid,trial_status,dedup_key,expanded_screen_decision,expanded_screen_reason,setting_code_expanded,component_code_expanded,intervention_node_expanded,already_in_high_confidence_queue
PubMed_existing,10333815,10333815.0,10.1001/archfami.8.3.210,Effectiveness of assistive technology and environmental interventions in maintaining independence and reducing home care costs for the frail elderly. A randomized controlled trial.,1999.0,Archives of family medicine,"Home environmental interventions (EIs) and assistive technology (AT) devices have the potential to increase independence for community-based frail elderly persons, but their effectiveness has not been demonstrated. To evaluate a system of AT-EI service provision designed to promote independence and reduce health care costs for physically frail elderly persons. Randomized controlled trial. A total of 104 home-based frail elderly persons living in western New York were assigned to 1 of 2 groups (52 treatment, 52 control). All participants underwent a comprehensive functional assessment and evaluation of their home environment. Participants in the treatment group received AT and EIs based on the results of the evaluation. The control group received ""usual care services."" Functional status as measured by the Functional Independence Measure (FIM) and the Craig Handicap Assessment and Reporting Technique; pain as measured by the Functional Status Instrument; and health care costs including the costs. After the 18-month intervention period, the treatment groups showed significant decline for FIM total score and FIM motor score, but there was significantly more decline for the control group. Functional Status Instrument pain scores increased significantly more for the control group. In a comparison of health care costs, the treatment group expended more than the control group for AT and EIs. The control group required significantly more expenditures for institutional care. There was no significant difference in total in-home personnel costs, although there was a large effect size. The control group had significantly greater expenditures for nurse visits and case manager visits. The frail elderly persons in this trial experienced functional decline over time. Results indicate rate of decline can be slowed, and institutional and certain in-home personnel costs reduced through a systematic approach to providing AT and EIs.",https://pubmed.ncbi.nlm.nih.gov/10333815/,journal_record,,,doi:10.1001/archfami.8.3.210,fulltext_candidate,Expanded-search frailty intervention RCT candidate,community,digital_home,digital_home_unclear_intervention,no
PubMed_existing,25867538,25867538.0,10.1001/jamainternmed.2015.0747,Efficacy and safety of single-dose zoledronic acid for osteoporosis in frail elderly women: a randomized clinical trial.,2015.0,JAMA internal medicine,"Eighty-five percent of institutionalized elderly people have osteoporosis and bone fracture rates 8 to 9 times higher than rates observed among community-dwelling elderly people. Nevertheless, most of these persons are left untreated and are excluded from pivotal osteoporosis trials. To determine the efficacy and safety of zoledronic acid to treat osteoporosis in frail elderly women in long-term care facilities. We conducted a 2-year, randomized, placebo-controlled, double-blinded study from December 2007 through March 2012. Included were 181 women 65 or older with osteoporosis, including those with cognitive impairment, immobility, and multimorbidity, who were living in nursing homes and assisted-living facilities. One 5-mg dose of zoledronic acid or placebo intravenously and daily calcium and vitamin D supplementation. Hip and spine bone mineral density (BMD) at 12 and 24 months and adverse events. There were no baseline differences in mean (SE) age (85.4 [0.6] years), BMD, or functional or cognitive status, but the treatment group included more participants with frailty, falls history, diabetes, and anticonvulsant medication use. Values for BMD were available for 87% of participants at 12 months and 73% at 24 months. Mean (SE) BMD changes were greater in the treatment group: 3.2 (0.7) and 3.9 (0.7) percentage-point differences in the total hip at 12 and 24 months, respectively (P < .01 for both comparisons), and 1.8 (0.7) and 3.6 (0.7) percentage-point differences at the spine (P < .01); adjusted analyses were similar. The treatment and placebo groups' fracture rates were 20% and 16%, respectively (OR, 1.30; 95% CI, 0.61-2.78); mortality rates were 16% and 13% (OR, 1.24; 95% CI, 0.54-2.86). Groups did not differ in the proportion of single fallers (28% vs 24%; OR, 1.24; 95% CI, 0.64-2.42; P = .52), but more participants in the treatment group had multiple falls (49% vs 35%; OR, 1.83; 95% CI, 1.01-3.33; P = .047); however, this difference was no longer significant when adjusted for baseline frailty. In this group of frail elderly women with osteoporosis, 1 dose of zoledronic acid improved BMD over 2 years. The clinical importance of nonsignificant increases in fracture and mortality rates in the treatment group needs further study. Since it is not known whether such therapy reduces the risk of fracture in this cohort, any change in nursing home practice must await results of larger trials powered to assess fracture rates. clinicaltrials.gov Identifier: NCT00558012.",https://pubmed.ncbi.nlm.nih.gov/25867538/,journal_record,,,doi:10.1001/jamainternmed.2015.0747,fulltext_candidate,Expanded-search frailty intervention RCT candidate,community,nutrition,nutrition_only,no
OpenAlex,https://openalex.org/W3092694780,33074327.0,10.1001/jamanetworkopen.2020.20836,Bimagrumab vs Optimized Standard of Care for Treatment of Sarcopenia in Community-Dwelling Older Adults,2020.0,JAMA Network Open,"Importance: The potential benefit of novel skeletal muscle anabolic agents to improve physical function in people with sarcopenia and other muscle wasting diseases is unknown. Objective: To confirm the safety and efficacy of bimagrumab plus the new standard of care on skeletal muscle mass, strength, and physical function compared with standard of care alone in community-dwelling older adults with sarcopenia. Design, Setting, and Participants: This double-blind, placebo-controlled, randomized clinical trial was conducted at 38 sites in 13 countries among community-dwelling men and women aged 70 years and older meeting gait speed and skeletal muscle criteria for sarcopenia. The study was conducted from December 2014 to June 2018, and analyses were conducted from August to November 2018. Interventions: Bimagrumab 700 mg or placebo monthly for 6 months with adequate diet and home-based exercise. Main Outcomes and Measures: The primary outcome was the change in Short Physical Performance Battery (SPPB) score after 24 weeks of treatment. Secondary outcomes included 6-minute walk distance, usual gait speed, handgrip strength, lean body mass, fat body mass, and standard safety parameters. Results: A total of 180 participants were recruited, with 113 randomized to bimagrumab and 67 randomized to placebo. Among these, 159 participants (88.3%; mean [SD] age, 79.1 [5.3] years; 109 [60.6%] women) completed the study. The mean SPPB score increased by a mean of 1.34 (95% CI, 0.90 to 1.77) with bimagrumab vs 1.03 (95% CI, 0.53 to 1.52) with placebo (P = .13); 6-minute walk distance increased by a mean of 24.60 (95% CI, 7.65 to 41.56) m with bimagrumab vs 14.30 (95% CI, -4.64 to 33.23) m with placebo (P = .16); and gait speed increased by a mean of 0.14 (95% CI, 0.09 to 0.18) m/s with bimagrumab vs 0.11 (95% CI, 0.05 to 0.16) m/s with placebo (P = .16). Bimagrumab was safe and well-tolerated and increased lean body mass by 7% (95% CI, 6% to 8%) vs 1% (95% CI, 0% to 2%) with placebo, resulting in difference of 6% (95% CI, 4% to 7%) (P < .001). Conclusions and Relevance: This randomized clinical trial found no significant difference between participants treated with bimagrumab vs placebo among older adults with sarcopenia who had 6 months of adequate nutrition and light exercise, with physical function improving in both groups. Bimagrumab treatment was safe, well-tolerated, increased lean body mass, and decreased fat body mass. The effects of sarcopenia, an increasing cause of disability in older adults, can be reduced with proper diet and exercise. Trial Registration: ClinicalTrials.gov Identifier: NCT02333331; EudraCT number: 2014-003482-25.",https://doi.org/10.1001/jamanetworkopen.2020.20836,article,,,doi:10.1001/jamanetworkopen.2020.20836,fulltext_candidate,Expanded-search frailty intervention RCT candidate,community,resistance;nutrition;digital_home,exercise_plus_nutrition,no
PubMed_existing,34817584,34817584.0,10.1001/jamanetworkopen.2021.34427,Assessment of Frailty and Association With Progression of Benign Prostatic Hyperplasia Symptoms and Serious Adverse Events Among Men Using Drug Therapy.,2021.0,JAMA network open,"Benign prostatic hyperplasia (BPH) in older men can cause lower urinary tract symptoms (LUTS), which are increasingly managed with medications. Frailty may contribute to both symptom progression and serious adverse events (SAEs), shifting the balance of benefits and harms of drug therapy. To assess the association between a deficit accumulation frailty index and clinical BPH progression or SAE. This cohort study used data from the Medical Therapy of Prostatic Symptoms trial, which compared placebo, doxazosin, finasteride, and combination therapy in men with moderate-to-severe LUTS, reduced urinary flow rate, and no prior BPH interventions, hypotension, or elevated prostate-specific antigen. Enrollment was from 1995 to 1998, and follow-up was through 2001. Data were assessed in February 2021. A frailty index (score range, 0-1) using 68 potential deficits collected at baseline was used to categorized men as robust (score ≤0.1), prefrail (score 0.1 to <0.25), or frail (score ≥0.25). Primary outcomes were time to clinical BPH progression and time to SAE, as defined in the parent trial. Adjusted hazard ratios (AHRs) were estimated using Cox proportional hazards regressions adjusted for demographic variables, treatment group, measures of obstruction, and comorbidities. Among 3047 men (mean [SD] age, 62.6 [7.3] years; range, 50-89 years) in this analysis, 745 (24%) were robust, 1824 (60%) were prefrail, and 478 (16%) were frail at baseline. Compared with robust men, frail men were older (age ≥75 years, 12 men [2%] vs 62 men [13%]), less likely to be White (646 men [87%] vs 344 men [72%]), less likely to be married (599 men [80%] vs 342 men [72%]), and less likely to have 16 years or more of education (471 men [63%] vs 150 men [31%]). During mean (SD) follow-up of 4.0 (1.5) years, the incidence rate of clinical BPH progression was 2.2 events per 100 person-years among robust men, 2.9 events per 100 person-years among prefrail men (AHR, 1.36; 95% CI, 1.02-1.83), and 4.0 events per 100 person-years among frail men (AHR, 1.82; 95% CI, 1.24-2.67; linear P = .005). Larger point estimates were seen among men who received doxazosin or combination therapy, although the test for interaction between frailty index and treatment group did not reach statistical significance (P for interaction = .06). Risk of SAE was higher among prefrail and frail men (prefrail vs robust AHR, 1.81; 95% CI, 1.48-2.23; frail vs robust AHR, 2.86; 95% CI, 2.21-3.69; linear P < .001); this association was similar across treatment groups (P for interaction = .76). These findings suggest that frailty is independently associated with greater risk of both clinical BPH progression and SAEs. Older frail men with BPH considering initiation of drug therapy should be counseled regarding their higher risk of progression despite combination therapy and their likelihood of experiencing SAEs regardless of treatment choice.",https://pubmed.ncbi.nlm.nih.gov/34817584/,journal_record,,,doi:10.1001/jamanetworkopen.2021.34427,fulltext_candidate,Expanded-search frailty intervention RCT candidate,unclear,balance,exercise_only,no
Europe_PMC,41222933,41222933.0,10.1001/jamanetworkopen.2025.43278,Long-Term Health and Cost Outcomes of a 24-Week Multicomponent Frailty Intervention in Older Adults.,2025.0,,"<h4>Importance</h4>While multicomponent frailty interventions have demonstrated short-term effectiveness, evidence on long-term health and cost outcomes is limited.<h4>Objective</h4>To evaluate the 66-month health and cost outcomes of a multicomponent frailty intervention for older adults in rural Korea.<h4>Design, setting, and participants</h4>This economic evaluation used data from the Aging Study of Pyeongchang Rural Area-Intervention Study, a nonrandomized clinical trial conducted from August 2015 to January 2017. Individual-level data were linked to National Health Insurance Service claims data through December 2021, and analyses were performed from June 2024 to August 2025. Participants were socioeconomically vulnerable adults aged 65 years and older living alone or receiving medical aid in a rural Korean community. Volunteers were enrolled in the intervention, while those who declined enrollment served as controls. Propensity score matching was performed using frailty, functional status, demographics, comorbidities, depression, and prior health service use.<h4>Intervention</h4>A 24-week multicomponent program including structured exercise and nutrition, with depression management, deprescribing, and home hazard reduction provided by risk profile.<h4>Main outcomes and measures</h4>Survival analyses assessed a composite of all-cause mortality or long-term care insurance eligibility over 66 months. Cost outcomes included cumulative health service-use costs and cost:benefit ratios, calculated as incremental costs relative to intervention costs.<h4>Results</h4>Among 383 eligible adults, 187 volunteered to participate and 196 individuals served as controls; NHIS linkage was successful for 181 (96.8%) and 192 (98.0%) participants, respectively. Among 119 matched pairs (238 [68.9%] aged ≥75 years; 177 [74.4%] female), participants had longer composite outcome-free survival at 66 months (mean difference, 6.53 [95% CI, 1.38-11.68] months). Health service-use costs were consistently lower in the participants group, mainly from reduced hospitalizations and long-term care use, with per-person savings of $7688 (95% CI, 1197-14 615) at 66 months, representing a cost:benefit ratio of 8.82.<h4>Conclusions and relevance</h4>In this economic evaluation of a nonrandomized clinical trial, participants in a 24-week multicomponent intervention had longer survival free from death or long-term care eligibility and had lower health service-use costs over 66 months. These findings support consideration of broader implementation of community-based frailty interventions in older adults.",https://europepmc.org/article/MED/41222933,,PMC12612941,,doi:10.1001/jamanetworkopen.2025.43278,fulltext_candidate,Expanded-search frailty intervention RCT candidate,community,nutrition,nutrition_only,no
Europe_PMC,35771806,35771806.0,10.1002/14651858.cd010494.pub2,Mobility training for increasing mobility and functioning in older people with frailty.,2022.0,,"<h4>Background</h4>Frailty is common in older people and is characterised by decline across multiple body systems, causing decreased physiological reserve and increased vulnerability to adverse health outcomes. It is estimated that 21% of the community-dwelling population over 65 years are frail. Frailty is independently predictive of falls, worsening mobility, deteriorating functioning, impaired activities of daily living, and death. The World Health Organization's International Classification of Functioning, Disability and Health (ICF) defines mobility as: changing and maintaining a body position, walking, and moving. Common interventions used to increase mobility include functional exercises, such as sit-to-stand, walking, or stepping practice.<h4>Objectives</h4>To summarise the evidence for the benefits and safety of mobility training on overall functioning and mobility in frail older people living in the community.<h4>Search methods</h4>We searched CENTRAL, MEDLINE, Embase, AMED, PEDro, US National Institutes of Health Ongoing Trials Register, and the World Health Organization International Clinical Trials Registry Platform (June 2021).<h4>Selection criteria</h4>We included randomised controlled trials (RCTs) evaluating the effects of mobility training on mobility and function in frail people aged 65+ years living in the community. We defined community as those residing either at home or in places that do not provide rehabilitative services or residential health-related care, for example, retirement villages, sheltered housing, or hostels. DATA COLLECTION AND ANALYSIS: We undertook an 'umbrella' comparison of all types of mobility training versus control.<h4>Main results</h4>This review included 12 RCTs, with 1317 participants, carried out in 9 countries. The median number of participants in the trials was 97. The mean age of the included participants was 82 years. The majority of trials had unclear or high risk of bias for one or more items. All trials compared mobility training with a control intervention (defined as one that is not thought to improve mobility, such as general health education, social visits, very gentle exercise, or ""sham"" exercise not expected to impact on mobility). High-certainty evidence showed that mobility training improves the level of mobility upon completion of the intervention period. The mean mobility score was 4.69 in the control group, and with mobility training, this score improved by 1.00 point (95% confidence interval (CI) 0.51 to 1.51) on the Short Physical Performance Battery (on a scale of 0 to 12; higher scores indicate better mobility levels) (12 studies, 1151 participants). This is a clinically significant change (minimum clinically important difference: 0.5 points; absolute improvement of 8% (4% higher to 13% higher); number needed to treat for an additional beneficial outcome (NNTB) 5 (95% CI 3.00 to 9.00)). This benefit was maintained at six months post-intervention. Moderate-certainty evidence (downgraded for inconsistency) showed that mobility training likely improves the level of functioning upon completion of the intervention. The mean function score was 86.1 in the control group, and with mobility training, this score improved by 8.58 points (95% CI 3.00 to 14.30) on the Barthel Index (on a scale of 0 to 100; higher scores indicate better functioning levels) (9 studies, 916 participants) (absolute improvement of 9% (3% higher to 14% higher)). This result did not reach clinical significance (9.8 points). This benefit did not appear to be maintained six months after the intervention. We are uncertain of the effect of mobility training on adverse events as we assessed the certainty of the evidence as very low (downgraded one level for imprecision and two levels for bias). The number of events was 771 per 1000 in the control group and 562 per 1000 in the group with mobility training (risk ratio (RR) 0.74, 95% CI 0.63 to 0.88; 2 studies, 225 participants) (absolute difference of 19% fewer (9% fewer to 26% fewer)). Mobility training may result in little to no difference in the number of people who are admitted to nursing care facilities at the end of the intervention period as the 95% confidence interval includes the possibility of both a reduced and increased number of admissions to nursing care facilities (low-certainty evidence, downgraded for imprecision and bias). The number of events was 248 per 1000 in the control group and 208 per 1000 in the group with mobility training (RR 0.84, 95% CI 0.53 to 1.34; 1 study, 241 participants) (absolute difference of 4% fewer (8% more to 12% fewer)). Mobility training may result in little to no difference in the number of people who fall as the 95% confidence interval includes the possibility of both a reduced and increased number of fallers (low-certainty evidence, downgraded for imprecision and study design limitations). The number of events was 573 per 1000 in the control group and 584 per 1000 in the group with mobility training (RR 1.02, 95% CI 0.87 to 1.20; 2 studies, 425 participants) (absolute improvement of 1% (12% more to 7% fewer)). Mobility training probably results in little to no difference in the death rate at the end of the intervention period as the 95% confidence interval includes the possibility of both a reduced and increased death rate (moderate-certainty evidence, downgraded for bias). The number of events was 51 per 1000 in the control group and 59 per 1000 in the group with mobility training (RR 1.16, 95% CI 0.64 to 2.10; 6 studies, 747 participants) (absolute improvement of 1% (6% more to 2% fewer)).<h4>Authors' conclusions</h4>The data in the review supports the use of mobility training for improving mobility in a frail community-dwelling older population. High-certainty evidence shows that compared to control, mobility training improves the level of mobility, and moderate-certainty evidence shows it may improve the level of functioning in frail community-dwelling older people. There is moderate-certainty evidence that the improvement in mobility continues six months post-intervention. Mobility training may make little to no difference to the number of people who fall or are admitted to nursing care facilities, or to the death rate. We are unsure of the effect on adverse events as the certainty of evidence was very low.",https://europepmc.org/article/MED/35771806,,PMC9245897,,doi:10.1002/14651858.cd010494.pub2,fulltext_candidate,Expanded-search frailty intervention RCT candidate,community,aerobic_walking;digital_home,exercise_only,no
PubMed_existing,35049127,35049127.0,10.1002/alz.12544,Is more always better? Dose effect in a multidomain intervention in older adults at risk of dementia.,2022.0,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Little is known regarding the dose-response function in multidomain interventions for dementia prevention. The Multidomain Alzheimer Preventive Trial is a 3-year randomized controlled trial comprising cognitive training, physical activity, nutrition, and omega-3 polyunsaturated fatty acids for at-risk older adults. The dose delivered (number of sessions attended) was modeled against global cognition, memory, and fluency in 749 participants. Interaction effects were assessed for age, sex, education, dementia score (CAIDE), frailty score, and apolipoprotein E (APOE) ε4 status. The dose-response models were non-linear functions indicating benefits up to about 12 to 14 training hours or 15 to 20 multidomain sessions followed by a plateau. Participants who benefited from a higher dose included women, younger participants, frail individuals, and those with lower education or lower risk of dementia. The non-linear function indicates that a higher dose is not necessarily better in multidomain interventions. The optimal dose was about half of the potentially available sessions.",https://pubmed.ncbi.nlm.nih.gov/35049127/,journal_record,,,doi:10.1002/alz.12544,fulltext_candidate,Expanded-search frailty intervention RCT candidate,unclear,nutrition;multidomain,multidomain,no
PubMed_existing,33783984,33783984.0,10.1002/ctm2.372,"Glycine and N-acetylcysteine (GlyNAC) supplementation in older adults improves glutathione deficiency, oxidative stress, mitochondrial dysfunction, inflammation, insulin resistance, endothelial dysfunction, genotoxicity, muscle strength, and cognition: Results of a pilot clinical trial.",2021.0,Clinical and translational medicine,"Oxidative stress (OxS) and mitochondrial dysfunction are implicated as causative factors for aging. Older adults (OAs) have an increased prevalence of elevated OxS, impaired mitochondrial fuel-oxidation (MFO), elevated inflammation, endothelial dysfunction, insulin resistance, cognitive decline, muscle weakness, and sarcopenia, but contributing mechanisms are unknown, and interventions are limited/lacking. We previously reported that inducing deficiency of the antioxidant tripeptide glutathione (GSH) in young mice results in mitochondrial dysfunction, and that supplementing GlyNAC (combination of glycine and N-acetylcysteine [NAC]) in aged mice improves naturally-occurring GSH deficiency, mitochondrial impairment, OxS, and insulin resistance. This pilot trial in OA was conducted to test the effect of GlyNAC supplementation and withdrawal on intracellular GSH concentrations, OxS, MFO, inflammation, endothelial function, genotoxicity, muscle and glucose metabolism, body composition, strength, and cognition. A 36-week open-label clinical trial was conducted in eight OAs and eight young adults (YAs). After all the participants underwent an initial (pre-supplementation) study, the YAs were released from the study. OAs were studied again after GlyNAC supplementation for 24 weeks, and GlyNAC withdrawal for 12 weeks. Measurements included red-blood cell (RBC) GSH, MFO; plasma biomarkers of OxS, inflammation, endothelial function, glucose, and insulin; gait-speed, grip-strength, 6-min walk test; cognitive tests; genomic-damage; glucose-production and muscle-protein breakdown rates; and body-composition. GlyNAC supplementation for 24 weeks in OA corrected RBC-GSH deficiency, OxS, and mitochondrial dysfunction; and improved inflammation, endothelial dysfunction, insulin-resistance, genomic-damage, cognition, strength, gait-speed, and exercise capacity; and lowered body-fat and waist-circumference. However, benefits declined after stopping GlyNAC supplementation for 12 weeks. GlyNAC supplementation for 24-weeks in OA was well tolerated and lowered OxS, corrected intracellular GSH deficiency and mitochondrial dysfunction, decreased inflammation, insulin-resistance and endothelial dysfunction, and genomic-damage, and improved strength, gait-speed, cognition, and body composition. Supplementing GlyNAC in aging humans could be a simple and viable method to promote health and warrants additional investigation.",https://pubmed.ncbi.nlm.nih.gov/33783984/,journal_record,,,doi:10.1002/ctm2.372,fulltext_candidate,Expanded-search frailty intervention RCT candidate,unclear,resistance;nutrition,exercise_plus_nutrition,no
Europe_PMC,40994451,40994451.0,10.1002/fsn3.70984,Enhancing Muscle Strength and Reducing Inflammation: The Combined Effects of Hydrolyzed House Cricket Protein Supplementation and Concurrent Training in Older Women.,2025.0,,"This study examined the effects of hydrolyzed house cricket protein supplementation combined with concurrent training (CT) on muscle mass, strength, inflammation, and metabolic health in older women. In a 12-week, double-blind, randomized, placebo-controlled trial, community-dwelling older women (<i>n</i> = 39) were assigned to four groups: placebo (PLA), protein supplementation alone (PRO), CT with placebo (CT), or CT with protein supplementation (PRO+CT). Participants in the PRO and PRO+CT groups consumed 30 g of hydrolyzed cricket protein post-exercise or at a matched time. The PRO+CT, PRO, and CT groups showed significant increases in fat-free mass (<i>p</i> < 0.01 for PRO+CT and PRO; <i>p</i> < 0.05 for CT), with additional leg lean mass gains in the PRO+CT and PRO groups (both <i>p</i> < 0.05). Upper- and lower-body strength improved in the PRO + CT (both <i>p</i> < 0.05) and CT groups, while the PRO group showed gains only in lower-body strength (<i>p</i> < 0.05). Tumor necrosis factor-alpha levels decreased in the PRO + CT and CT groups (<i>p</i> < 0.05 and <i>p</i> < 0.01), with insulin-like growth factor-1 significantly increased only in PRO+CT (<i>p</i> < 0.05). All groups improved 6 min walk test performance (<i>p</i> < 0.01 for PRO + CT and CT; <i>p</i> < 0.05 for PRO). Overall quality of life improved significantly in PRO+CT (<i>p</i> < 0.01) across physical, psychological, and social domains, with psychological gains also observed in CT. These findings suggest that combining hydrolyzed cricket protein supplementation with CT elicits synergistic benefits on muscle mass, strength, and functional capacity in older women, presenting a sustainable and effective strategy to counteract sarcopenia and support healthy aging.",https://europepmc.org/article/MED/40994451,,PMC12454676,,doi:10.1002/fsn3.70984,fulltext_candidate,Expanded-search frailty intervention RCT candidate,community,resistance;nutrition,exercise_plus_nutrition,no
PubMed_existing,33559131,33559131.0,10.1002/gps.5507,"A prospective study into change of vitamin D levels, depression and frailty among depressed older persons.",2021.0,International journal of geriatric psychiatry,"While vitamin D is involved in frailty as well as depression, hardly any study has examined the course of vitamin D levels prospectively. The objective of this study is to examine whether a change of vitamin D in depressed older adults is associated with either depression course, course of frailty, or both. The study population consisted of 232 of 378 older adults (60-93 years) with a DSM-IV defined depressive disorder participating in the Netherlands Study of Depression in Older persons, a prospective clinical cohort study. Baseline and 2-year follow-up data on depressive disorder (DSM-IV diagnosis), symptom severity (inventory of depressive symptoms), frailty phenotype (and its individual components) and vitamin D levels were obtained. Linear mixed models were used to study the association of change in vitamin D levels with depression course, course of frailty, and the combination. Vitamin D levels decreased from baseline to follow-up, independent from depression course. An increase in frailty was associated with a significantly sharper decrease of vitamin D levels over time. Post hoc analyses showed that this association with frailty might be driven by an increase of exhaustion over time and counteracted by an increase in walking speed. Our findings generate the hypothesis that vitamin D supplementation in late-life depression may improve frailty, which may partly explain inconsistent findings of randomised controlled trials evaluating the effect of vitamin D for depression. We advocate to consider frailty (components) as an outcome in future supplementation trials in late-life depression.",https://pubmed.ncbi.nlm.nih.gov/33559131/,journal_record,,,doi:10.1002/gps.5507,fulltext_candidate,Expanded-search frailty intervention RCT candidate,unclear,aerobic_walking;nutrition,exercise_plus_nutrition,no
